epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1146.38,0.47384,0.25776,0.97474,0.99225,1,0.99495,0.90653,0.51243,0.21458,0.9839,0.0007328,0.0007328,0.0007328
66,1164.02,0.46132,0.24606,0.95695,0.99463,1,0.99498,0.91026,0.50169,0.20463,0.96697,0.000713,0.000713,0.000713
67,1184.25,0.46942,0.25096,0.96294,0.98861,1,0.99488,0.91074,0.51645,0.21364,0.99688,0.0006932,0.0006932,0.0006932
68,1202.2,0.47031,0.24993,0.96817,0.99244,1,0.99493,0.90618,0.51294,0.20561,0.99319,0.0006734,0.0006734,0.0006734
69,1219.89,0.47012,0.25115,0.97745,0.99487,1,0.99495,0.90634,0.52981,0.20506,1.01613,0.0006536,0.0006536,0.0006536
70,1240.21,0.44921,0.24328,0.96101,0.99547,0.99752,0.99498,0.91049,0.50853,0.19993,1.0034,0.0006338,0.0006338,0.0006338
71,1257.78,0.45649,0.24218,0.96256,0.99493,1,0.99495,0.90948,0.51615,0.20224,1.00213,0.000614,0.000614,0.000614
72,1277.78,0.44672,0.24014,0.95629,0.99239,1,0.9949,0.90918,0.5125,0.20701,1.01796,0.0005942,0.0005942,0.0005942
73,1294.01,0.4512,0.23761,0.9661,0.99258,1,0.99498,0.90328,0.52368,0.20432,1.02338,0.0005744,0.0005744,0.0005744
74,1310.11,0.44841,0.23385,0.96176,0.99506,0.99981,0.99498,0.90891,0.51186,0.20292,1.00907,0.0005546,0.0005546,0.0005546
75,1327.86,0.44676,0.23986,0.96357,0.99493,1,0.99495,0.91207,0.51264,0.19672,1.01626,0.0005348,0.0005348,0.0005348
76,1343.81,0.45178,0.24474,0.96913,0.99505,0.99728,0.99495,0.91386,0.51276,0.20277,1.01075,0.000515,0.000515,0.000515
77,1362.77,0.43771,0.23644,0.96265,0.9949,1,0.99498,0.91058,0.5124,0.20089,0.99601,0.0004952,0.0004952,0.0004952
78,1378.48,0.43447,0.23027,0.96191,0.99425,1,0.99485,0.91298,0.51404,0.19817,1.00806,0.0004754,0.0004754,0.0004754
79,1397.52,0.43219,0.2313,0.95963,0.99517,0.99504,0.99498,0.90769,0.51502,0.19704,1.01794,0.0004556,0.0004556,0.0004556
80,1413.99,0.41705,0.22434,0.9518,0.99255,1,0.99498,0.91112,0.51024,0.19615,1.02293,0.0004358,0.0004358,0.0004358
81,1429.47,0.41989,0.22411,0.95453,0.99693,0.99752,0.99498,0.91565,0.50196,0.19246,1.02368,0.000416,0.000416,0.000416
82,1448.12,0.42158,0.22575,0.95749,0.99677,1,0.99498,0.9133,0.51252,0.19339,1.04557,0.0003962,0.0003962,0.0003962
83,1463.83,0.42586,0.22754,0.95282,0.9919,1,0.99498,0.90394,0.51721,0.19833,1.03206,0.0003764,0.0003764,0.0003764
84,1482.16,0.41379,0.22365,0.95354,0.99482,0.99752,0.99495,0.91498,0.50584,0.19156,1.02568,0.0003566,0.0003566,0.0003566
85,1496.87,0.41547,0.21832,0.95048,0.99243,1,0.995,0.91573,0.50285,0.19058,1.0228,0.0003368,0.0003368,0.0003368
86,1514.33,0.41606,0.22077,0.94901,0.99259,1,0.99498,0.91165,0.50601,0.18985,1.01054,0.000317,0.000317,0.000317
87,1532.62,0.39876,0.21259,0.93484,0.9923,1,0.99498,0.91952,0.50056,0.18964,0.98797,0.0002972,0.0002972,0.0002972
88,1549.39,0.40489,0.21666,0.94281,0.9946,1,0.995,0.91453,0.50304,0.1895,1.00534,0.0002774,0.0002774,0.0002774
89,1566.87,0.40096,0.2118,0.93951,0.99457,1,0.995,0.90871,0.51196,0.19075,1.00788,0.0002576,0.0002576,0.0002576
90,1583.9,0.40055,0.21495,0.94153,0.99456,1,0.995,0.91335,0.50787,0.19063,1.0062,0.0002378,0.0002378,0.0002378
91,1601.53,0.32282,0.15718,0.86812,0.99436,1,0.995,0.91033,0.50602,0.19496,1.00851,0.000218,0.000218,0.000218
92,1617.65,0.31438,0.15336,0.86301,0.99237,1,0.99498,0.90868,0.50936,0.19346,1.01975,0.0001982,0.0001982,0.0001982
93,1635.35,0.30738,0.14865,0.85861,0.9946,1,0.99498,0.91058,0.51207,0.19264,1.0359,0.0001784,0.0001784,0.0001784
94,1651.59,0.30692,0.14854,0.85754,0.99356,0.99752,0.995,0.90907,0.50751,0.19494,1.0222,0.0001586,0.0001586,0.0001586
95,1669.16,0.29482,0.14751,0.85974,0.99467,1,0.995,0.91024,0.50824,0.1916,1.02233,0.0001388,0.0001388,0.0001388
96,1686.01,0.29399,0.14485,0.85845,0.99503,1,0.995,0.91103,0.51048,0.19137,1.02452,0.000119,0.000119,0.000119
97,1702.79,0.2942,0.14278,0.85774,0.99322,1,0.995,0.90979,0.50651,0.19188,1.02085,9.92e-05,9.92e-05,9.92e-05
98,1719.9,0.29367,0.14197,0.85127,0.99422,1,0.995,0.91157,0.50695,0.19119,1.01877,7.94e-05,7.94e-05,7.94e-05
99,1737.42,0.2921,0.14247,0.85566,0.99478,1,0.995,0.91518,0.50287,0.18833,1.01807,5.96e-05,5.96e-05,5.96e-05
100,1753.63,0.28343,0.13934,0.84147,0.99481,1,0.995,0.91194,0.50145,0.18686,1.01841,3.98e-05,3.98e-05,3.98e-05
